区分,Area,合計(ha),L-1／宅地(ha),L-2／その他(ha),L-2／（屋外利用地）／内数(ha),L-3／公園、運動場等(ha),L-4／未利用地等(ha),L-5／道路等(ha),L-5／（道路）／内数(ha),L-6／農用地(ha),L-7／水面・河川・水路(ha),L-8／森林(ha),L-9／原野(ha)
全域（R4）,All area(2022),33072.2,271.1,247.3,46.2,27.3,25.1,246.4,239.1,251.1,550.5,31355.8,97.6
全域（H29）,All area(2017),33072.2,271.8,245.3,45.6,27.5,24.8,244.4,237.2,251.9,550.5,31358,97.9
檜原村,Hinohara,10537.9,99.1,52,14.9,4.8,7.2,91.3,91.3,154.4,50.7,10014.2,64.2
奥多摩町,Okutama,22534.3,172,195.3,31.4,22.6,17.9,155,147.8,96.7,499.8,21341.6,33.5
