地域,Area,建築面積ベース不燃化率(%),延べ面積ベース不燃化率(%)
大島町,Oshima,28.9,36.5
利島村,Toshima,40.3,44.7
新島村,Niijima,48.1,53.6
神津島村,Kozushima,38.1,42.4
三宅村,Miyake,29.5,36.8
御蔵島村,Mikurajima,40.9,52.5
八丈町,Hachijo,35.6,43.1
青ヶ島村,Aogashima,73.4,79.2
小笠原村,Ogasawara,82.1,84.3
