地域,Area,建ぺい率グロスGross(%),建ぺい率ネットNet(%)
大島町,Oshima,1.1,21.4
利島村,Toshima,1,25.9
新島村,Niijima,1.4,31.4
神津島村,Kozushima,0.9,36.1
三宅村,Miyake,0.7,25.9
御蔵島村,Mikurajima,0.1,26.7
八丈町,Hachijo,1.3,26.4
青ヶ島村,Aogashima,0.5,20.8
小笠原村,Ogasawara,0.4,25.6
