"ID","町名","読み方","面積（K㎡）"
1,暁町一丁目,あかつきちょういっちょうめ,0.35
2,暁町二丁目,あかつきちょうにちょうめ,0.324
3,暁町三丁目,あかつきちょうさんちょうめ,0.221
4,旭町,あさひちょう,0.179
5,東町,あずまちょう,0.042
6,追分町,おいわけちょう,0.077
7,大横町,おおよこちょう,0.163
8,大和田町一丁目,おおわだまちいっちょうめ,0.458
9,大和田町二丁目,おおわだまちにちょうめ,0.187
10,大和田町三丁目,おおわだまちさんちょうめ,0.301
11,大和田町四丁目,おおわだまちよんちょうめ,0.212
12,大和田町五丁目,おおわだまちごちょうめ,0.244
13,大和田町六丁目,おおわだまちろくちょうめ,0.282
14,大和田町七丁目,おおわだまちななちょうめ,0.268
15,北野台一丁目,きたのだいいっちょうめ,0.177
16,北野台二丁目,きたのだいにちょうめ,0.146
17,北野台三丁目,きたのだいさんちょうめ,0.18
18,北野台四丁目,きたのだいよんちょうめ,0.18
19,北野台五丁目,きたのだいごちょうめ,0.182
20,絹ケ丘一丁目,きぬがおかいっちょうめ,0.267
21,絹ケ丘二丁目,きぬがおかにちょうめ,0.208
22,絹ケ丘三丁目,きぬがおかさんちょうめ,0.201
23,子安町一丁目,こやすまちいっちょうめ,0.27
24,子安町二丁目,こやすまちにちょうめ,0.266
25,子安町三丁目,こやすまちさんちょうめ,0.224
26,子安町四丁目,こやすまちよんちょうめ,0.12
27,散田町一丁目,さんだまちいっちょうめ,0.094
28,散田町二丁目,さんだまちにちょうめ,0.299
29,散田町三丁目,さんだまちさんちょうめ,0.289
30,散田町四丁目,さんだまちよんちょうめ,0.212
31,散田町五丁目,さんだまちごちょうめ,0.333
32,城山手一丁目,しろやまていっちょうめ,0.146
33,城山手二丁目,しろやまてにちょうめ,0.152
34,新町,しんちょう,0.061
35,千人町一丁目,せんにんちょういっちょうめ,0.088
36,千人町二丁目,せんにんちょうにちょうめ,0.154
37,千人町三丁目,せんにんちょうさんちょうめ,0.176
38,千人町四丁目,せんにんちょうよんちょうめ,0.157
39,台町一丁目,だいまちいっちょうめ,0.173
40,台町二丁目,だいまちにちょうめ,0.311
41,台町三丁目,だいまちさんちょうめ,0.263
42,台町四丁目,だいまちよんちょうめ,0.242
43,田町,たまち,0.029
44,中町,なかちょう,0.04
45,中野上町一丁目,なかのかみちょういっちょうめ,0.219
46,中野上町二丁目,なかのかみちょうにちょうめ,0.231
47,中野上町三丁目,なかのかみちょうさんちょうめ,0.148
48,中野上町四丁目,なかのかみちょうよんちょうめ,0.345
49,中野上町五丁目,なかのかみちょうごちょうめ,0.216
50,中野山王一丁目,なかのさんのういっちょうめ,0.214
51,中野山王二丁目,なかのさんのうにちょうめ,0.334
52,中野山王三丁目,なかのさんのうさんちょうめ,0.259
53,七国一丁目,ななくにいっちょうめ,0.439
54,七国二丁目,ななくににちょうめ,0.137
55,七国三丁目,ななくにさんちょうめ,0.404
56,七国四丁目,ななくによんちょうめ,0.211
57,七国五丁目,ななくにごちょうめ,0.185
58,七国六丁目,ななくにろくちょうめ,0.288
59,並木町,なみきちょう,0.309
60,南陽台一丁目,なんようだいいっちょうめ,0.117
61,南陽台二丁目,なんようだいにちょうめ,0.167
62,南陽台三丁目,なんようだいさんちょうめ,0.129
63,西片倉一丁目,にしかたくらいっちょうめ,0.108
64,西片倉二丁目,にしかたくらにちょうめ,0.147
65,西片倉三丁目,にしかたくらさんちょうめ,0.133
66,八幡町,はちまんちょう,0.091
67,兵衛一丁目,ひょうえいっちょうめ,0.122
68,兵衛二丁目,ひょうえにちょうめ,0.364
69,日吉町,ひよしちょう,0.099
70,平岡町,ひらおかちょう,0.168
71,富士見町,ふじみちょう,0.154
72,本郷町,ほんごうちょう,0.047
73,本町,ほんちょう,0.137
74,三崎町,みさきちょう,0.033
75,みつい台一丁目,みついだいいっちょうめ,0.092
76,みつい台二丁目,みついだいにちょうめ,0.214
77,南町,みなみちょう,0.036
78,みなみ野一丁目,みなみのいっちょうめ,0.211
79,みなみ野二丁目,みなみのにちょうめ,0.084
80,みなみ野三丁目,みなみのさんちょうめ,0.171
81,みなみ野四丁目,みなみのよんちょうめ,0.192
82,みなみ野五丁目,みなみのごちょうめ,0.304
83,みなみ野六丁目,みなみのろくちょうめ,0.156
84,明神町一丁目,みょうじんちょういっちょうめ,0.173
85,明神町二丁目,みょうじんちょうにちょうめ,0.164
86,明神町三丁目,みょうじんちょうさんちょうめ,0.128
87,明神町四丁目,みょうじんちょうよんちょうめ,0.18
88,元本郷町一丁目,もとほんごうちょういっちょうめ,0.161
89,元本郷町二丁目,もとほんごうちょうにちょうめ,0.135
90,元本郷町三丁目,もとほんごうちょうさんちょうめ,0.165
91,元本郷町四丁目,もとほんごうちょうよんちょうめ,0.228
92,元横山町一丁目,もとよこやまちょういっちょうめ,0.134
93,元横山町二丁目,もとよこやまちょうにちょうめ,0.153
94,元横山町三丁目,もとよこやまちょうさんちょうめ,0.13
95,八木町,やぎちょう,0.062
96,八日町,ようかまち,0.082
97,横山町,よこやまちょう,0.117
