階層コード,地域コード,地域,人口総数／平成24年９月１日,人口総数／平成24年８月１日,人口総数／平成23年９月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13123050,13120228,13093100,2822,0.02,29950,0.23
1,13100,区部,8944286,8940939,8914960,3347,0.04,29326,0.33
1,13200,市部,4091657,4092104,4090560,-447,-0.01,1097,0.03
1,13300,郡部,59199,59250,59458,-51,-0.09,-259,-0.44
1,13350,島部,27908,27935,28122,-27,-0.1,-214,-0.76
,,,,,,,,,
住民基本台帳による世帯と人口_平成24年９月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
