項番,名称,設置場所,撮影方向,緯度経度,動画リンク
1,元町港,大島_元町港船客待合所 1F,岸壁方面,"34.751877197231124,139.3523663219215",https://youtube.com/live/fVFhLgVTtQ0?feature=share
2,岡田港,大島_岡田港船客待合所 3F,岸壁方面,"34.790074,139.391546",https://youtube.com/live/cFoOh0jGAkY?feature=share
3,利島港,利島_利島港船客待合所 2F,岸壁方面,"34.531819,139.280216",https://youtube.com/live/s2BTHam9--c?feature=share
4,新島港,新島_新島港船客待合所 2F,岸壁方面,"34.367381073672945,139.2443192660337",https://youtube.com/live/nJ4duqX-O4M?feature=share
5,若郷漁港,新島_若郷漁港日除け施設,岸壁方面,"34.41560922386605,139.27574986306533",https://youtube.com/live/pTVVMJHqinM?feature=share
6,野伏漁港,式根島_野伏港船客待合所 3F,岸壁方面,"34.33408520715584,139.21469741759157",https://youtube.com/live/TOnYAioqvC8?feature=share
7,神津島港,神津島_神津島港船客待合所 2F,岸壁方面,"34.2080446440575,139.13161666079202",https://youtube.com/live/vtkpWT0JpOc?feature=share
8,三浦漁港,神津島_三浦漁港船客待合所 1F,岸壁方面,"34.202147221674636,139.15398427097503",https://youtube.com/live/8Z0Ao8KXJqg?feature=share
9,三池港,三宅島_三池港自営柱,岸壁方面,"34.07986070583317,139.56317781853343",https://youtube.com/live/YFUO7SivJKs?feature=share
10,阿古漁港,三宅島_阿古漁港船客待合所 2F,岸壁方面,"34.06835430529803,139.48021231710786",https://youtube.com/live/6QW9OCSVvBE?feature=share
11,伊ヶ谷漁港,三宅島_三宅村伊ヶ谷ふれあい館,岸壁方面,"34.10025444830975,139.48932736867508",https://youtube.com/live/aTOUqiJVe84?feature=share
12,御蔵島港,御蔵島_御蔵島港船客待合所 2F,岸壁方面,"33.89576416583984,139.58933767456816",https://youtube.com/live/6zXudUtucSU?feature=share
13,神湊港底土,八丈島_神湊港底土船客待合所 3F,岸壁方面,"33.12292916101363,139.81716429800323",https://youtube.com/live/Ueh9qP9FAMk?feature=share
14,八重根漁港,八丈島_八重根漁港岸壁自営柱,岸壁方面,"33.09910863229039,139.77532820462034",https://youtube.com/live/eAhe3tIxZIk?feature=share
15,青ヶ島（三宝）港,青ヶ島_青ヶ島港落石防護施設,防波堤方面,"32.4475000776436,139.75975035187827",https://youtube.com/live/58evEQ4V38g?feature=share
16,二見港,父島_二見港船客待合所屋外デッキ,岸壁方面,"27.09487873573387,142.19643688126675",https://youtube.com/live/MrBXnXxXRCo?feature=share
17,沖港,母島_沖港船客待合所,岸壁方面,"26.638927485295067,142.15959509038748",https://youtube.com/live/WZPubQyDWUQ?feature=share
