"施設名","年度","宿泊利用人員 大人[人]","宿泊利用人員 小人[人]","定員[人]","利用率[%]","部屋数","部屋利用率[%]"
"大平台みなと荘","2013","24090","1379","125","56.8","25","97.5"
"大平台みなと荘","2014","23316","1283","125","55.1","25","96.3"
"大平台みなと荘","2015","17620","844","125","52.6","25","94.2"
"大平台みなと荘","2016","20981","1200","125","54.4","25","96.3"
"大平台みなと荘","2017","20246","1207","125","48.1","25","87.3"
"ホテル暖香園","2013","4178","301","25～45","44.1","5～9","81.8"
"ホテル暖香園","2014","3759","267","25～45","39.6","5～9","73.9"
"ホテル暖香園","2015","3379","249","20～45","42.1","4～9","79.0"
"ホテル暖香園","2016","2951","225","15～45","46.5","3～9","86.0"
"ホテル暖香園","2017","2815","201","15～35","45.9","3～7","85.6"

"平成30年度港区行政資料集　施設利用状況一覧 通年保養施設","Ver201803",,,,,,
