"年度[西暦]","合計 利用登録者数[人]","合計 館外利用資料数","みなと 利用登録者数[人]","みなと 館外利用資料数","三田 利用登録者数[人]","三田 館外利用資料数","麻布 利用登録者数[人]","麻布 館外利用資料数","赤坂 利用登録者数[人]","赤坂 館外利用資料数","高輪 利用登録者数[人]","高輪 館外利用資料数","高輪分室 利用登録者数[人]","高輪分室 館外利用資料数","港南 利用登録者数[人]","港南 館外利用資料数"
"2018","111253","2316260","19093","339296","29953","522461","14191","343911","17215","350890","18256","387942","2760","87862","9785","283898"
"2019","113495","2282637","19345","330213","30439","501082","14846","349644","17715","348166","18449","395718","2784","80786","9917","277028"
"2020","111388","1890574","19104","253353","29476","391954","14861","309479","17278","279293","18095","355396","2845","70475","9729","230624"
"2021","116161","2211483","20366","328582","29687","398785","16093","396152","17880","335628","18659","353015","3122","113632","10354","285689"
"2022","136148","2223815","22682","301806","39997","544342","18232","351018","19751","319776","20721","381967","3521","80915","11244","243991"

"令和5年度港区行政資料集　施設利用状況一覧 図書館利用状況","Ver202303",,,,,,,,,,,,,,,
