"施設名称","施設郵便番号","施設所在地","施設方書","確認日","確認番号"
"ＴＫビューティ　サロン","107-0052","東京都港区赤坂一丁目6番14号","赤坂協和ビル 2階","2003/8/8","15港み生環き第72号"
"ＡＮＡインターコンチネンタルホテル東京　ヤマノビューティウエルネスサロン","107-0052","東京都港区赤坂一丁目12番33号","東京全日空ホテル 1階","2003/9/17","15港み生環き第82号"
"ＬＥＯＮ　赤坂","107-0052","東京都港区赤坂二丁目7番2号","REID-C 3階","2023/12/1","5港み生環き第167号"
"ＡＫａＳａＫａ　ｓａｌｏｎ","107-0052","東京都港区赤坂二丁目8番13号","赤坂こうゆうビル902","2020/9/16","2港み生環き第124号"
"Ｈａｉｒ　＆　Ｍａｋｅｕｐ　Ｓａｌｏｎ　Ｅ∞Ａｉｌｅｓ","107-0052","東京都港区赤坂二丁目8番13号","赤坂こうゆうビル702","2020/10/1","2港み生環き第131号"
"Ｋｕｕオーガニックヘナシロダーラ","107-0052","東京都港区赤坂二丁目8番13号","赤坂こうゆうビル603","2023/2/28","4港み生環き第211号"
"Ｈａｉｒ　＆　Ｍａｋｅｕｐ　Ｓａｌｏｎ　Ｅ∞Ａｉｌｅｓ","107-0052","東京都港区赤坂二丁目8番13号","赤坂こうゆうビル701","2023/3/30","4港み生環き第232号"
"ＭＥＬＩＡ","107-0052","東京都港区赤坂二丁目8番13号","赤坂こうゆうビル902","2023/7/28","5港み生環き第84号"
"Ｌｅｐｕｓ","107-0052","東京都港区赤坂二丁目8番16号","赤坂光和ビル地下1階","2023/9/12","5港み生環き第118号"
"ＰＡＺＺＯ　（パッゾォ）","107-0052","東京都港区赤坂二丁目10番16号","赤坂スクアエビル2A","2023/3/3","4港み生環き第191号"
"美容室カイザーリン","107-0052","東京都港区赤坂二丁目12番12号","赤坂フローラビル 5階","1996/12/2","8港赤総衛環き第18号"
"ａｍｏｒｏｓｓｏ（アモロッソ）","107-0052","東京都港区赤坂二丁目13番3号","レックス赤坂レジデンス503","2019/2/25","30港み生環き第186号"
"ＭＡＭＩＮＯＮ（マミノン）","107-0052","東京都港区赤坂二丁目13番3号","レックス赤坂レジデンス806号室","2016/10/12","28港み生環き第125号"
