"場所","年度","化学的酸素要求量(COD)[mg/l]","溶存酸素量(DO)[mg/l]"
"区立お台場レインボー公園前先海域","2015","5.6","12.0"
"区立お台場レインボー公園前先海域","2016","4.7","13.2"
"区立お台場レインボー公園前先海域","2017","5.8","10.3"
"区立お台場レインボー公園前先海域","2018","3.2","9.0"
"区立お台場レインボー公園前先海域","2019","3.2","8.3"
"台場駅前先海域","2015","5.0","10.4"
"台場駅前先海域","2016","4.7","13.3"
"台場駅前先海域","2017","5.4","9.6"
"台場駅前先海域","2018","4.0","8.6"
"台場駅前先海域","2019","3.2","7.9"
"お台場学園前水際","2015","5.0",
"お台場学園前水際","2016","5.8",
"お台場学園前水際","2017","8.4",
"お台場学園前水際","2018","8.3",
"お台場学園前水際","2019","3.8",
"都営台場一丁目アパート１号棟前水際","2015","5.6",
"都営台場一丁目アパート１号棟前水際","2016","5.8",
"都営台場一丁目アパート１号棟前水際","2017","7.1",
"都営台場一丁目アパート１号棟前水際","2018","4.8",
"都営台場一丁目アパート１号棟前水際","2019","3.6",
"区立台場保育園前水際","2015","5.7",
"区立台場保育園前水際","2016","5.7",
"区立台場保育園前水際","2017","8.1",
"区立台場保育園前水際","2018","5.5",
"区立台場保育園前水際","2019","3.5",

"令和2年度港区行政資料集　水質汚濁　お台場海浜公園","Ver202003",,
