,最終処分量（千t）,最終処分量（％）,
上水汚泥,4,0.6,
下水汚泥,44,6.3,
建設汚泥,58,8.2,
その他汚泥,22,3.1,
廃プラスチック,40,5.7,
木くず,3,0.4,
ｶﾞﾗｽ陶磁器くず,139,19.7,
がれき類,193,27.4,
混合廃棄物,145,20.6,
その他,56,8.0,
合計,704,100.0,
