,再生利用量,減量化量,最終処分量,合計
平成２５年度排出量（千t）,8694,15152,747,24592
平成２６年度排出量（千t）,9276,14694,704,24674
平成２５年度排出量（％）,35.4,61.6,3.0,
平成２６年度排出量（％）,37.6,59.6,2.9,
,,,,
