,排出量（千t）,排出量（％）,
建設汚泥,2475,21.4,
その他汚泥,601,5.2,
廃プラスチック類,337,2.9,
木くず,383,3.3,
金属くず,156,1.3,
ｶﾞﾗｽ・陶磁器くず,721,6.2,
がれき類,6219,53.7,
混合廃棄物,348,3.0,
その他,332,2.9,
合計,11572,100.0,
