,平成２５年度（％）,平成２６年度（％）,
合計,61.6,59.6,
建設業,11.3,10.9,
製造業,44.5,40.7,
上下水道業,99.3,99.5,
農業，林業,35.4,35.7,
電気・ガス・熱供給業,1.1,0.0,
情報通信業,8.2,0.0,
運輸業,6.4,10.4,
卸売業，小売業,14.4,16.4,
不動産業，物品賃貸業,17.2,14.5,
学術研究，専門・技術サービス業,45.3,36.4,
宿泊業、飲食サービス業,25.5,34.5,
生活関連サービス業、娯楽業,47.9,25.0,
教育，学習支援業,17.8,13.3,
医療，福祉,58.4,67.2,
サービス業,0.8,26.7,
自動車整備業,16.7,25.0,
