,平成２５年度（千t）,平成２６年度（千t）,
合計,15152,14694,
上水汚泥,441,468,
下水汚泥,12995,12564,
建設汚泥,605,794,
その他汚泥,528,471,
廃酸,27,6,
廃アルカリ,31,7,
廃プラスチック類,93,92,
木くず,245,105,
がれき類,10,14,
混合廃棄物,0,1,
その他,304,172,
