,平成２５年度（千t）,平成２６年度（千t）,
合計,747,704,
建設業,499,486,
製造業,105,115,
上下水道業,89,48,
農業，林業,0,0,
電気・ガス・熱供給業,9,10,
情報通信業,0,1,
運輸業,4,3,
卸売業，小売業,5,5,
不動産業，物品賃貸業,15,12,
学術研究，専門・技術サービス業,2,4,
宿泊業、飲食サービス業,2,2,
生活関連サービス業、娯楽業,1,1,
教育，学習支援業,9,10,
医療，福祉,6,5,
サービス業,1,2,
自動車整備業,1,0,
