,中間処理量（千t）,中間処理量（％）,
茨城県,57,0.2,
栃木県,261,1.1,
群馬県,57,0.2,
埼玉県,2912,11.9,
千葉県,2609,10.7,
東京都,17437,71.2,
神奈川県,1146,4.7,
合計,24479,100.0,
