,平成２５年度（千t）,平成２６年度（千t）,
合計,747,704,
上水汚泥,26,4,
下水汚泥,62,44,
建設汚泥,51,58,
その他汚泥,16,22,
廃プラスチック類,36,40,
木くず,3,3,
ガラス・陶磁器くず,139,139,
がれき類,223,193,
混合廃棄物,145,145,
その他,46,56,
