,平成２５年度排出量（千t）,平成２６年度排出量（千t）,
廃プラスチック類,14,16,
金属くず,14,13,
混合廃棄物,14,12,
がれき類,10,11,
ガラス・陶磁器くず,5,6,
汚泥,3,3,
その他,8,8,
合計,68,69,
