,平成２５年度排出量（千t）,平成２６年度排出量（千t）,
合計,24592,24674,
上水汚泥,468,480,
下水汚泥,13066,12620,
建設汚泥,2285,2475,
その他汚泥,643,602,
廃プラスチック類,311,337,
木くず,349,383,
金属くず,147,156,
ガラス・陶磁器くず,680,721,
がれき類,5868,6219,
混合廃棄物,336,348,
その他,440,333,
