,平成２５年度（％）,平成２６年度（％）,
合計,61.6,59.6,
上水汚泥,94.1,97.5,
下水汚泥,99.5,99.6,
建設汚泥,26.5,32.1,
その他汚泥,82.1,78.2,
廃酸,79.7,75.0,
廃アルカリ,91.3,77.8,
廃プラスチック類,29.9,27.3,
木くず,70.3,27.4,
がれき類,0.2,0.2,
混合廃棄物,0.0,0.3,
その他,1.2,14.4,
