,再生利用量（千t）,再生利用量（％）,
合計,9276,100.0,
上水汚泥,8,0.1,
下水汚泥,12,0.1,
建設汚泥,1623,17.5,
その他汚泥,109,1.2,
廃プラスチック類,205,2.2,
木くず,275,3.0,
金属くず,150,1.6,
ｶﾞﾗｽ・陶磁器くず,554,6.0,
がれき類,6012,64.8,
混合廃棄物,202,2.2,
その他,126,1.4,
