,減量化量（千t）,減量化量（％）,
上水汚泥,468,3.2,
下水汚泥,12564,85.5,
建設汚泥,794,5.4,
その他汚泥,471,3.2,
廃プラスチック類,92,0.6,
木くず,105,0.7,
がれき類,14,0.1,
その他,186,1.3,
合計,14694,100.0,
