業種／区分,(A)調査対象事業所数（件）,(B)回収事業所数（件）,(C)有効回答数（件）,(D)多量報告件数（件）,(E)集計排出量（千t/年）,(F)推計排出量（千t/年）,(G)補足率（(E)÷(F)）(%)
合計,665,423,419,606,9858,24674,40.0
農業，林業,－,－,－,0,0,42,0.0
建設業,386,246,243,345,5198,9968,52.1
製造業,116,72,71,102,833,1122,74.2
上下水道業,20,17,17,20,3765,13102,28.7
電気・ガス・熱供給業,8,3,3,6,3,23,13.0
情報通信業,1,0,0,1,0,17,0.0
運輸業,3,3,3,2,12,48,25.0
卸売業，小売業,2,1,1,1,1,110,0.9
不動産業，物品賃貸業,5,2,2,5,4,69,5.8
宿泊業，飲食サービス業,1,0,0,1,0,29,0.0
学術研究，専門・技術サービス業,3,2,2,3,1,33,3.0
"生活関連サービス業,娯楽業",－,－,－,0,0,4,0.0
教育，学習支援業,4,3,3,4,2,30,6.7
医療，福祉,114,72,72,104,25,58,43.1
自動車整備業,－,－,－,0,0,4,0.0
サービス業,2,2,2,12,14,15,93.3
