,平成２５年度排出量（千t）,平成２６年度排出量（千t）,
廃プラスチック類,7,8,
金属くず,9,8,
汚泥,7,8,
廃油,2,3,
ガラス・陶磁器くず,3,2,
その他,1,0,
合計,28,29,
