,再生利用量,減量化量,最終処分量,合計
平成２５年度排出量（千t）,8681,1715,658,11055
平成２６年度排出量（千t）,9255,1661,656,11572
平成２５年度排出量（％）,78.5,15.5,6.0,
平成２６年度排出量（％）,80.0,14.4,5.7,
,,,,
