,平成２５年度（千t）,平成２６年度（千t）,
合計,8694,9276,
上水汚泥,2,8,
下水汚泥,8,12,
建設汚泥,1628,1623,
その他汚泥,99,109,
廃プラスチック類,182,205,
木くず,101,275,
金属くず,133,150,
ｶﾞﾗｽ・陶磁器くず,516,554,
がれき類,5635,6012,
混合廃棄物,191,202,
その他,199,126,
