種類,平成２５年度東京都内中間処理量（千t）,平成２５年度東京都内処理率（％）,平成２６年度東京都内中間処理量（千t）,平成２６年度東京都内処理率（％）,平成２５年度東京都外中間処理量（千t）,平成２５年度東京都外処理率（％）,平成２６年度東京都外中間処理量（千t）,平成２６年度東京都外処理率（％）
汚泥,14404,87.5,13739,85.0,2051,12.5,2432,15.0
上水汚泥,468,100.0,480,100.0,0,0.0,0,0.0
下水汚泥,13061,100.0,12620,100.0,5,0.0,0,0.0
建設汚泥,342,15.0,335,13.6,1938,85.0,2136,86.4
その他汚泥,533,83.3,304,50.7,107,16.7,296,49.3
廃油,12,37.6,10,41.7,19,62.4,14,58.3
廃酸,4,11.5,0,0.0,30,88.5,8,100.0
廃アルカリ,7,21.0,2,22.2,26,79.0,7,77.8
廃プラスチック類,183,60.8,145,43.8,118,39.2,186,56.2
金属くず,99,69.0,67,43.2,44,31.0,88,56.8
ガラス・コンクリート・陶磁器くず,370,55.0,231,32.3,303,45.0,484,67.7
がれき類,3057,52.3,2870,46.5,2784,47.7,3301,53.5
木くず,123,35.1,112,29.2,226,64.9,271,70.8
混合廃棄物,122,36.8,151,44.2,209,63.2,191,55.8
特別管理産業廃棄物,33,28.9,33,47.1,82,71.1,37,52.9
特別管理産業廃棄物感染性廃棄物,19,53.4,24,55.8,16,46.6,19,44.2
その他,107,51.3,77,40.5,102,48.7,113,59.5
合計,18521,75.5,17437,71.0,5995,24.5,7132,29.0
上下汚泥除く計,4992,45.5,4335,37.8,5989,54.5,7132,62.2
