,再生利用率（％）,減量化率（％）,最終処分率（％）
燃え殻,33.3,6.7,60.0
汚泥計,10.8,88.4,0.8
(上水汚泥),1.7,97.5,0.8
(下水汚泥),0.1,99.6,0.3
(建設汚泥),65.6,32.1,2.3
(その他汚泥),18.1,78.2,3.7
廃油,16.7,83.3,0.0
廃酸,25.0,75.0,0.0
廃アルカリ,22.2,77.8,0.0
廃プラスチック類,60.8,27.3,11.9
金属くず,96.2,0.0,3.8
ガラス・陶磁器くず,76.8,3.9,19.3
鉱さい,100.0,0.0,0.0
がれき類,96.7,0.2,3.1
石綿含有産業廃棄物,50.0,2.8,47.2
ばいじん,20.0,0.0,80.0
紙くず,42.9,57.1,0.0
木くず,71.8,27.4,0.8
繊維くず,16.7,83.3,0.0
動植物性残さ,46.5,51.2,2.3
動物系固形不要物,50.0,50.0,0.0
動物のふん尿,65.0,35.0,0.0
混合廃棄物,58.0,0.3,41.7
その他,83.3,0.0,16.7
特別管理産業廃棄物,16.7,66.7,16.7
(感染性廃棄物),7.0,86.0,7.0
(特定有害産業廃棄物),13.3,20.0,66.7
合計,37.6,59.6,2.9
