,再生利用率（％）,減量化率（％）,最終処分率（％）
建設業,84.2,10.9,4.9
製造業,49.0,40.7,10.2
上下水道業,0.2,99.5,0.4
農業，林業,64.3,35.7,0.0
電気・ガス・熱供給業,56.5,0.0,43.5
情報通信業,94.1,0.0,5.9
運輸業,83.3,10.4,6.3
卸売業，小売業,79.1,16.4,4.5
不動産業，物品賃貸業,68.1,14.5,17.4
学術研究，専門・技術サービス業,51.5,36.4,12.1
宿泊業，飲食サービス業,58.6,34.5,6.9
生活関連サービス業、娯楽業,50.0,25.0,25.0
教育，学習支援業,53.3,13.3,33.3
医療，福祉,24.1,67.2,8.6
サービス業,60.0,26.7,13.3
自動車整備業,75.0,25.0,0.0
合計,37.6,59.6,2.9
