業種／区分,調査対象事業所数（件）,有効配布数（件）,
合計,665,660,
建設業,386,383,
製造業,116,115,
上下水道業,20,20,
電気・ガス・熱供給業,8,8,
情報通信業,1,1,
運輸業,3,3,
卸売業，小売業,2,2,
不動産業，物品賃貸業,5,5,
宿泊業，飲食サービス業,1,1,
学術研究，専門・技術サービス業,3,3,
教育，学習支援業,4,4,
医療，福祉,114,113,
サービス業,2,2,
