,平成２５年度（％）,平成２６年度（％）,
合計,35.4,37.6,
建設業,83.4,84.2,
製造業,47.1,49.0,
上下水道業,0.1,0.2,
農業，林業,64.6,64.3,
電気・ガス・熱供給業,65.9,73.9,
情報通信業,89.1,94.1,
運輸業,84.1,83.3,
卸売業，小売業,80.9,79.1,
不動産業，物品賃貸業,60.9,68.1,
学術研究，専門・技術サービス業,47.4,51.5,
宿泊業、飲食サービス業,66.0,58.6,
生活関連サービス業、娯楽業,32.7,50.0,
教育，学習支援業,44.5,53.3,
医療，福祉,30.7,24.1,
サービス業,86.0,60.0,
自動車整備業,69.7,75.0,
