,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,排出量（千t）
昭和57年度,473,1283,403,2159
昭和62年度,384,1451,373,2208
平成04年度,371,1597,368,2336
平成10年度,194,1678,141,2013
平成14年度,681,708,369,1758
平成15年度,418,998,358,1774
平成16年度,322,776,245,1343
平成17年度,176,767,153,1096
平成18年度,283,799,208,1289
平成19年度,413,889,170,1473
平成20年度,278,669,200,1147
平成21年度,151,541,98,790
平成22年度,305,302,147,754
平成23年度,289,435,252,976
平成24年度,313,440,238,991
平成25年度,584,553,105,1242
平成26年度,550,457,115,1122
