,再生利用率(%),減量化率(%),最終処分率(%)
昭和57年度,0.3,93.7,6
昭和62年度,0.2,96.7,3.1
平成04年度,0.4,96.8,2.8
平成10年度,0.5,97.6,1.9
平成14年度,0.6,98.9,0.5
平成15年度,0.4,99.3,0.3
平成16年度,0.5,99.2,0.2
平成17年度,0.5,98.8,0.7
平成18年度,0.6,99.2,0.2
平成19年度,0.6,99.2,0.2
平成20年度,0.3,99.4,0.2
平成21年度,1,98.8,0.2
平成22年度,2.3,97.5,0.1
平成23年度,0.3,99.1,0.6
平成24年度,0.3,98.9,0.8
平成25年度,0.1,99.3,0.7
平成26年度,0.2,99.5,0.4
