,平成２５年度（％）,平成２６年度（％）,
合計,3.0,2.9,
上水汚泥,5.6,0.8,
下水汚泥,0.5,0.3,
建設汚泥,2.2,2.3,
その他汚泥,2.6,3.7,
廃プラスチック類,11.6,11.9,
木くず,0.9,0.8,
ガラス・陶磁器くず,20.4,19.3,
がれき類,3.8,3.1,
混合廃棄物,43.1,41.7,
その他,0.2,9.0,
