,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,排出量（千t）
昭和57年度,1455,1392,2140,4987
昭和62年度,2642,654,3680,6976
平成04年度,3189,707,5269,9165
平成10年度,4853,2165,3036,10054
平成14年度,4352,2586,1990,8928
平成15年度,6146,1584,1023,8753
平成16年度,5449,2779,1232,9459
平成17年度,6184,1147,802,8133
平成18年度,7140,1172,998,9310
平成19年度,6807,1377,845,9029
平成20年度,5221,1214,604,7039
平成21年度,5693,1232,554,7479
平成22年度,5604,1198,507,7309
平成23年度,5969,1127,590,7686
平成24年度,6493,1243,436,8172
平成25年度,7803,1053,499,9355
平成26年度,8397,1085,486,9968
