,最終処分量（千t）,最終処分量（％）,
茨城県,16,2.3,
栃木県,85,13.0,
群馬県,14,2.0,
埼玉県,163,25.0,
千葉県,214,32.8,
東京都,72,11.0,
神奈川県,89,13.6,
合計,653,100.0,
