,平成２５年度（％）,平成２６年度（％）,
合計,3.0,2.9,
建設業,5.3,4.9,
製造業,8.4,10.2,
上下水道業,0.7,0.4,
農業，林業,0.0,0.0,
電気・ガス・熱供給業,32.9,43.5,
情報通信業,2.7,5.9,
運輸業,9.5,6.3,
卸売業，小売業,4.7,4.5,
不動産業，物品賃貸業,21.9,17.4,
学術研究，専門・技術サービス業,7.4,12.1,
宿泊業、飲食サービス業,8.5,6.9,
生活関連サービス業、娯楽業,19.3,25.0,
教育，学習支援業,37.7,33.3,
医療，福祉,10.9,8.6,
サービス業,13.3,13.3,
自動車整備業,13.5,0.0,
