,汚泥（千t）,がれき類（千t）,ガラス・陶磁器くず（千t）,廃プラスチック類（千t）,混合廃棄物（千t）,金属くず（千t）,木くず（千t）,その他（千t）,再生利用量合計（千t）
昭和57 年度,196,1423,5,7,0,50,1,298,1980
昭和62 年度,111,2446,26,21,0,61,164,282,3112
平成04 年度,272,2897,28,0,0,95,100,258,3650
平成10 年度,1332,3472,58,33,30,96,63,153,5237
平成14 年度,1140,3276,108,10,243,128,78,188,5171
平成15 年度,529,5322,261,31,111,71,3,409,6737
平成16 年度,686,4450,108,36,146,257,103,177,5963
平成17 年度,1044,4797,46,54,45,218,226,172,6603
平成18 年度,1074,5440,267,102,249,390,146,170,7836
平成19 年度,919,5308,243,163,249,275,144,265,7566
平成20 年度,1026,3842,216,138,175,76,176,158,5807
平成21 年度,1202,4254,137,123,142,132,161,122,6274
平成22 年度,1370,4256,171,138,147,144,195,132,6553
平成23 年度,1175,4335,246,160,150,171,227,164,6628
平成24 年度,1382,4604,293,183,175,158,249,150,7194
平成25 年度,1737,5635,516,182,191,133,101,199,8694
平成26 年度,1752,6012,554,205,202,150,275,126,9276
