,平成２５年度排出量（千t）,平成２６年度排出量（千t）,
がれき類,5799,6141,
汚泥,2460,2635,
木くず,301,339,
混合廃棄物,311,316,
ガラス・陶磁器くず,245,260,
廃プラスチック類,82,91,
金属くず,68,77,
石綿含有産業廃棄物,34,36,
その他,56,73,
合計,9355,9968,
