,汚泥（千t）,その他（千t）,上下水計（千t）
昭和57年度,10021,0,10021
昭和62年度,12592,0,12592
平成04年度,13111,0,13111
平成10年度,12354,0,12354
平成14年度,12652,0,12652
平成15年度,12625,0,12625
平成16年度,13219,0,13219
平成17年度,13090,0,13090
平成18年度,13136,0,13136
平成19年度,13062,0,13062
平成20年度,13084,0,13084
平成21年度,14286,0,14286
平成22年度,13877,0,13877
平成23年度,14483,0,14483
平成24年度,13777,2,13779
平成25年度,13535,3,13538
平成26年度,13101,1,13102
