,上下水道業（千t）,建設業（千t）,製造業（千t）,その他（千t）,減量化量合計（千t）
昭和57年度,9387,1392,1283,38,12100
昭和62年度,12178,654,1451,36,14319
平成04年度,12698,707,1597,66,15068
平成10年度,12058,2165,1678,144,16045
平成14年度,12514,2586,708,54,15862
平成15年度,12543,1584,998,222,15346
平成16年度,13118,2779,776,216,16889
平成17年度,12929,1147,767,164,15007
平成18年度,13035,1172,799,200,15206
平成19年度,12960,1377,889,152,15378
平成20年度,13010,1214,669,182,15075
平成21年度,14114,1232,541,189,16076
平成22年度,13534,1198,302,192,15226
平成23年度,14346,1127,435,187,16095
平成24年度,13629,1243,440,183,15495
平成25年度,13437,1053,553,109,15152
平成26年度,13033,1085,457,119,14694
