,減量化量（千t）,減量化量（％）,
建設汚泥,794,47.8,
その他汚泥,470,28.3,
廃プラスチック類,92,5.5,
木くず,105,6.3,
がれき類,14,0.8,
廃油,20,1.2,
ガラス・陶磁器くず,28,1.7,
その他,138,8.3,
合計,1661,100.0,
