,平成２５年度排出量（千t）,平成２６年度排出量（千t）,
合計,24592,24674,
建設業,9355,9968,
製造業,1242,1122,
上下水道業,13538,13102,
農業，林業,42,42,
電気・ガス・熱供給業,26,23,
情報通信業,16,17,
運輸業,46,48,
卸売，小売業,106,110,
不動産業,68,69,
学術，専門,31,33,
宿泊，飲食業,28,29,
生活，娯楽業,3,4,
教育，学習,24,30,
医療，福祉,59,58,
サービス業,4,15,
自動車整備業,4,4,
