,排出量（千t）,排出量（％）,
上水汚泥,480,1.9,
下水汚泥,12620,51.1,
建設汚泥,2475,10,
その他汚泥,602,2.4,
廃プラスチック類,337,1.4,
木くず,383,1.6,
金属くず,156,0.6,
ｶﾞﾗｽ・陶磁器くず,721,2.9,
がれき類,6219,25.2,
混合廃棄物,348,1.4,
その他,333,1.3,
合計,24674,100.0,
