,平成２５年度（千t）,平成２６年度（千t）,
合計,8694,9276,
建設業,7803,8397,
製造業,584,550,
上下水道業,12,21,
農業，林業,27,27,
電気・ガス・熱供給業,17,13,
情報通信業,14,16,
運輸業,39,40,
卸売業，小売業,85,87,
不動産業，物品賃貸業,42,47,
学術研究，専門・技術サービス業,15,17,
宿泊業、飲食サービス業,18,17,
生活関連サービス業、娯楽業,1,2,
教育，学習支援業,10,16,
医療，福祉,18,14,
サービス業,4,9,
自動車整備業,3,3,
