,再生利用率(%),減量化率(%),最終処分率(%)
昭和57年度,29.2,27.9,42.9
昭和62年度,37.9,9.4,52.8
平成04年度,34.8,7.7,57.5
平成10年度,48.3,21.5,30.2
平成14年度,48.7,29,22.3
平成15年度,70.2,18.1,11.7
平成16年度,57.6,29.4,13
平成17年度,76,14.1,9.9
平成18年度,76.7,12.6,10.7
平成19年度,75.4,15.2,9.4
平成20年度,74.2,17.2,8.6
平成21年度,76.1,16.5,7.4
平成22年度,76.7,16.4,6.9
平成23年度,77.7,14.7,7.7
平成24年度,79.5,15.2,5.3
平成25年度,83.4,11.3,5.3
平成26年度,84.2,10.9,4.9
