,汚泥（千t）,がれき類（千t）,ガラス・陶磁器くず（千t）,混合廃棄物（千t）,その他（千t）,合計（千t）
昭和57年度,33,1415,33,0,0,1455
昭和62年度,21,2422,10,0,189,2642
平成04年度,200,2882,9,0,98,3189
平成10年度,1237,3428,44,30,114,4853
平成14年度,508,3239,74,243,288,4352
平成15年度,448,5257,60,110,271,6146
平成16年度,603,4388,88,145,225,5449
平成17年度,962,4791,44,16,371,6184
平成18年度,994,5419,214,218,296,7140
平成19年度,826,5288,162,212,319,6807
平成20年度,903,3806,87,174,251,5221
平成21年度,1025,4232,63,140,233,5693
平成22年度,980,4120,84,131,289,5604
平成23年度,1066,4298,88,174,343,5969
平成24年度,1254,4575,110,151,403,6493
平成25年度,1677,5577,187,175,186,7803
平成26年度,1675,5942,206,183,391,8397
