,平成２５年度排出量（千t）,平成２６年度排出量（千t）,
廃プラスチック類,8,11,
汚泥,5,5,
混合廃棄物,2,4,
廃アルカリ,5,3,
がれき類,2,2,
感染性廃棄物,1,1,
その他,8,7,
合計,31,33,
