,平成２５年度排出量（千t）,平成２６年度排出量（千t）,
ガラス・陶磁器くず,414,445,
汚泥,437,406,
廃プラスチック類,85,82,
動植物性残さ,49,42,
鉱さい,42,0,
がれき類,36,43,
廃酸,32,7,
廃アルカリ,27,5,
金属くず,24,21,
木くず,19,17,
紙くず,18,14,
その他,58,40,
合計,1242,1122,
