,平成２５年度（％）,平成２６年度（％）,
合計,35.4,37.6,
上水汚泥,0.4,1.7,
下水汚泥,0.1,0.1,
建設汚泥,71.3,65.6,
その他汚泥,15.3,18.1,
廃プラスチック類,58.4,60.8,
木くず,28.9,71.8,
金属くず,90.9,96.2,
ｶﾞﾗｽ・陶磁器くず,75.9,76.8,
がれき類,96,96.7,
混合廃棄物,56.9,58.0,
その他,45.2,37.8,
