,平成２５年度排出量（千t）,平成２６年度排出量（千t）,
廃プラスチック類,55,60,
木くず,19,16,
汚泥,8,9,
金属くず,8,9,
廃油,4,5,
ガラス･陶磁器くず,4,3,
混合廃棄物,2,3,
その他,6,5,
合計,106,110,
