,平成２５年度排出量（千t）,平成２６年度排出量（千t）,
廃プラスチック類,22,25,
金属くず,12,15,
木くず,4,4,
ガラス・陶磁器くず,3,1,
混合廃棄物,2,0,
その他,3,3,
合計,46,48,
