,平成２５年度排出割合（％）,平成２６年度排出割合（％）,
がれき類,70.3,73.9,
ばいじん,4.7,26.1,
石綿含有産業廃棄物,21.5,0.0,
その他,3.6,0.0,
合計,100.0,100.0,
