"年度[西暦]","件数[件]","面積[平方メートル]"
"2017","7","219"
"2018","5","658"
"2019","9","195"
"2020","10","328"
"2021","21","1247"

"令和4年度港区行政資料集　私道整備の助成","Ver202203",
