"年度","消費者力検定講座[人]","消費者教養講座[人]"
"2015","13","11"
"2016","20","17"
"2017","19","23"
"2018","30","26"
"2019","22","9"

"令和2年度港区行政資料集　消費者教育講座受講状況","Ver202003",
