"年度[西暦]","研究・研修等 延べ件数[件]","研究・研修等 延べ人数[人]","教育相談 相談件数[件]","教育相談 延べ相談件数[件]","教育相談 延べ人数[人]"
"2018","97","3813","294","3316","3316"
"2019","106","4397","225","3394","3394"
"2020","111","4159","233","3146","3146"
"2021","113","4181","246","3111","3111"
"2022","109","4229","292","3710","3710"

"令和5年度港区行政資料集　施設利用状況一覧 教育センター","Ver202303",,,,
