,１歳未満(%),１～５歳(%),６～１０歳(%),１１～１５歳(%),１６～２０歳(%),２１～２５歳(%),２６歳以上(%),サンプル数,平均
TOTAL,14.1,30.6,15.7,15,10.9,6.8,6.8,5938,9.5
現在保育士就業中,9.6,23.5,17.1,19.5,14.5,8.3,7.5,2926,11.3
過去保育士就業経験有,21,33.7,12.7,12,7.8,6,6.8,1478,8.1
保育士就業経験無,15.7,42.7,16.1,9.2,6.9,4.7,4.8,1412,7.3
