"","今後も保育士として働き続けたい(%)","今後は保育士を辞め保育士以外の職種で働きたい(%)","今後は保育士を辞め働かないつもりだ(%)","無回答(%)","サンプル数"
"TOTAL","78.7","16.0","","3.2","8214"
"正規職員","74.4","20.8","","","4702"
"有期契約職員フルタイム","81.6","13.4","","","886"
"有期契約職員パートタイム","85.8","8.1","","3.6","2536"
