上段：度数／下段：%,n=,１００万未満,１００～２００万未満,２００～３００万未満,３００～４００万未満,４００万以上,無回答,平均値
ＴＯＴＡＬ,2871,154,144,237,347,184,1805,255.8
ＴＯＴＡＬ,100,5.4,5,8.3,12.1,6.4,62.9,
性別・年代／女性計,2641,139,134,217,308,158,1685,253.4
性別・年代／女性計,100,5.3,5.1,8.2,11.7,6,63.8,
性別・年代／女性２０代,634,37,28,90,113,37,329,258.4
性別・年代／女性２０代,100,5.8,4.4,14.2,17.8,5.8,51.9,
性別・年代／女性３０代,961,41,37,69,113,70,631,269.2
性別・年代／女性３０代,100,4.3,3.9,7.2,11.8,7.3,65.7,
性別・年代／女性４０代,590,31,39,30,60,27,403,242.5
性別・年代／女性４０代,100,5.3,6.6,5.1,10.2,4.6,68.3,
性別・年代／女性５０代以上,425,28,27,27,20,21,302,216.9
性別・年代／女性５０代以上,100,6.6,6.4,6.4,4.7,4.9,71.1,
性別・年代／男性計,86,8,0,11,24,16,27,295.6
性別・年代／男性計,100,9.3,0,12.8,27.9,18.6,31.4,
性別・年代／男性２０代,51,5,0,7,18,8,13,281.2
性別・年代／男性２０代,100,9.8,0,13.7,35.3,15.7,25.5,
性別・年代／男性３０代以上,35,3,0,4,6,8,14,321.7
性別・年代／男性３０代以上,100,8.6,0,11.4,17.1,22.9,40,
性別・年代／無回答,144,7,10,9,15,10,93,252.8
性別・年代／無回答,100,4.9,6.9,6.3,10.4,6.9,64.6,
