設置,施設名,郵便番号,所在地,経度,緯度,座標系,電話番号,定員
社福法人,あけの星学園,161-0032,新宿区中落合１－７－１,139.69038,35.71737,JGD2011,03-3954-8690,20
社福法人,品川景徳学園,142-0064,品川区旗の台５－２５－１９,139.70132,35.60281,JGD2011,03-3783-3781,48
社福法人,目黒若葉寮,153-0044,目黒区大橋２－１９－１,139.68199,35.65539,JGD2011,03-3466-0261,46
社福法人,救世軍機恵子寮,145-0064,大田区上池台４－１２－１０,139.69991,35.59867,JGD2011,03-3729-0357,42
社福法人,聖フランシスコ子供寮,146-0085,大田区久が原４－２－１,139.69255,35.5824,JGD2011,03-3753-6768,50
社福法人,東京育成園,154-0011,世田谷区上馬４－１２－３,139.66249,35.63579,JGD2011,03-3421-0041,55
社福法人,福音寮,156-0057,世田谷区上北沢３－１－１９,139.62654,35.66632,JGD2011,03-3302-5600,57
社福法人,広尾フレンズ,150-0012,渋谷区広尾４－２－１２,139.72168,35.65439,JGD2011,03-3400-4009,46
社福法人,若草寮,151-0072,渋谷区幡ヶ谷３－４－９,139.67587,35.67983,JGD2011,03-3377-6445,30
社福法人,愛児の家,165-0032,中野区鷺宮３－２－１３,139.64346,35.72298,JGD2011,03-3330-4493,36
社福法人,聖友学園,166-0001,杉並区阿佐谷北３－２８－１９,139.63322,35.71104,JGD2011,03-3338-1844,48
社福法人,救世軍世光寮,166-0012,杉並区和田２－２１－１,139.65883,35.69022,JGD2011,03-3381-0545,56
社福法人,カリタスの園小百合の寮,167-0021,杉並区井草４－１９－２８,139.61285,35.72827,JGD2011,03-3394-2451,61
社福法人,東京家庭学校,168-0072,杉並区高井戸東２－３－４,139.61531,35.67764,JGD2011,03-3333-8627,54
社福法人,杉並学園,168-0081,杉並区宮前３－１０－８,139.60468,35.69553,JGD2011,03-3332-2567,30
社福法人,星美ホーム,115-0053,北区赤羽台４－２－１４,139.71504,35.78452,JGD2011,03-3906-2711,88
社福法人,まつば園,173-0013,板橋区氷川町２７－２,139.70468,35.75376,JGD2011,03-3962-6869,54
社福法人,西台こども館,174-0045,板橋区西台１－２７－１０,139.67226,35.77493,JGD2011,03-5920-1122,44
社福法人,マハヤナ学園撫子園,174-0063,板橋区前野町５－７－１０,139.6861,35.76997,JGD2011,03-3960-1990,62
社福法人,錦華学院,176-0004,練馬区小竹町１－６０－８,139.67329,35.73841,JGD2011,03-3955-0988,57
