,現在の就業状況（３分類）,現在の就業状況（３分類）／n,1／幼稚園教諭,5／ホームヘルパー,2／小学校教諭,3／中学校・高等学校教諭,6／介護福祉士,4／看護師・助産師・保健師,7／その他保育・教育関係の資格,8／特にない,9／無回答
0,TOTAL,15369,67.9,7.5,5,4.1,2.5,0.6,12,17.7,2
1,現在保育士就業中,8214,71,6.7,3.7,3.3,1.9,0.1,11.8,16.8,1.7
2,過去保育士就業経験有,2871,70.7,9.4,2.8,3.2,3.4,0.6,10.3,16.6,2.1
3,保育士就業経験無,3969,59.4,7.7,9.4,6.7,3.2,1.5,13.5,20.3,2
