,割合(%)
TOTAL,100
認可保育所,64.1
認証保育所（Ａ型）,9.2
認証保育所（Ｂ型）,1.8
認定こども園,2.8
事業所内保育所,2.1
院内保育所,1.8
子育て広場,1.3
学童クラブ,3.2
家庭的保育者（保育ママ）,1.2
児童福祉施設（保育所を除く）,2.9
ベビーホテル,0.4
その他,7.8
無回答,1.6
