,今後も保育士として働き続けたい(%),今後は保育士を辞め保育士以外の職種で働きたい(%),今後は保育士を辞め働かないつもりだ(%),無回答(%),サンプル数
TOTAL,78.7,16,,3.2,8214
認可保育所,78,16.6,,3.2,5267
認証保育所（Ａ型）,75.6,19.9,,,753
認証保育所（Ｂ型）,81,16.3,,,147
認定こども園,74.8,18.7,3.5,3,230
事業所内保育所,82.2,11.8,,4.1,169
院内保育所,83.1,12.2,3.4,,148
子育て広場,89.3,5.8,,,103
学童クラブ,82.3,13.5,,,260
家庭的保育者（保育ママ）,88.1,6.9,4,,101
児童福祉施設（保育所を除く）,83.5,12.3,,3.4,236
ベビーホテル,89.7,3.4,3.4,3.4,29
その他,81.3,12.8,,4.5,643
